Fiscal Year,Inflation adj
2001,2457963544.587774
2002,1851580662.9834259
2003,1670390928.7257023
2004,2036311216.4297001
2005,2522412095.9111266
2006,2950168368.9268017
2007,3235383138.744304
2008,3693874568.527386
2009,2662341280.1416364
2010,2724785000.270845
2011,3050766746.0869236
2012,3387600393.253506
2013,3851435766.8122053
2014,3567965130.1784225
2015,3887430244.3557844
2016,3662764869.5014997
2017,3304828075.9151974
2018,4719360882.111881
2019,2986436062.5130377
2020,3612500000
