Date updated,County code,County,Total cases ,Confirmed cases,Probable cases,Total case rate,Hospitalized cases,Total deaths,Confirmed deaths,Probable deaths
05/21/2020,1,Fairfield,14889,,,1578,226,1195,,
05/21/2020,2,Hartford,9463,,,1060,184,1155,,
05/21/2020,3,Litchfield,1298,,,717,6,121,,
05/21/2020,4,Middlesex,992,,,610,28,135,,
05/21/2020,5,New Haven,10756,,,1254,272,888,,
05/21/2020,6,New London,910,,,341,21,72,,
05/21/2020,7,Tolland,796,,,527,0,55,,
05/21/2020,8,Windham,348,,,297,3,14,,
05/22/2020,1,Fairfield,14989,,,1588,227,1208,,
05/22/2020,2,Hartford,9545,,,1069,179,1169,,
05/22/2020,3,Litchfield,1304,,,720,5,122,,
05/22/2020,4,Middlesex,999,,,614,25,136,,
05/22/2020,5,New Haven,10847,,,1265,265,897,,
05/22/2020,6,New London,970,,,364,20,72,,
05/22/2020,7,Tolland,799,,,529,0,55,,
05/22/2020,8,Windham,354,,,302,3,14,,
05/23/2020,1,Fairfield,15114,,,1601,232,1215,,
05/23/2020,2,Hartford,9686,,,1085,164,1175,,
05/23/2020,3,Litchfield,1331,,,735,5,121,,
05/23/2020,4,Middlesex,1010,,,621,26,136,,
05/23/2020,5,New Haven,10905,,,1272,254,903,,
05/23/2020,6,New London,1046,,,392,17,74,,
05/23/2020,7,Tolland,807,,,535,0,55,,
05/23/2020,8,Windham,359,,,307,3,14,,
05/24/2020,1,Fairfield,15213,,,1612,233,1221,,
05/24/2020,2,Hartford,9841,,,1102,166,1187,,
05/24/2020,3,Litchfield,1346,,,743,6,126,,
05/24/2020,4,Middlesex,1012,,,622,29,138,,
05/24/2020,5,New Haven,11017,,,1285,253,922,,
05/24/2020,6,New London,1043,,,391,16,78,,
05/24/2020,7,Tolland,812,,,538,0,56,,
05/24/2020,8,Windham,365,,,312,3,14,,
05/25/2020,1,Fairfield,15355,,,1627,225,1231,,
05/25/2020,2,Hartford,9917,,,1111,173,1193,,
05/25/2020,3,Litchfield,1360,,,751,4,129,,
05/25/2020,4,Middlesex,1026,,,631,28,142,,
05/25/2020,5,New Haven,11121,,,1297,248,925,,
05/25/2020,6,New London,1075,,,403,14,78,,
05/25/2020,7,Tolland,821,,,544,0,56,,
05/25/2020,8,Windham,371,,,317,2,14,,
05/26/2020,1,Fairfield,15314,,,1623,220,1242,,
05/26/2020,2,Hartford,9962,,,1116,165,1203,,
05/26/2020,3,Litchfield,1360,,,751,5,130,,
05/26/2020,4,Middlesex,1061,,,652,30,143,,
05/26/2020,5,New Haven,11124,,,1297,248,934,,
05/26/2020,6,New London,1053,,,395,15,79,,
05/26/2020,7,Tolland,815,,,540,0,57,,
05/26/2020,8,Windham,371,,,317,1,14,,
05/27/2020,1,Fairfield,15353,,,1627,211,1246,,
05/27/2020,2,Hartford,10078,,,1129,158,1208,,
05/27/2020,3,Litchfield,1366,,,754,8,128,,
05/27/2020,4,Middlesex,1082,,,665,24,144,,
05/27/2020,5,New Haven,11198,,,1306,232,946,,
05/27/2020,6,New London,1067,,,400,12,83,,
05/27/2020,7,Tolland,822,,,545,2,57,,
05/27/2020,8,Windham,375,,,320,1,14,,
05/28/2020,1,Fairfield,15409,,,1633,188,1257,,
05/28/2020,2,Hartford,10146,,,1137,138,1222,,
05/28/2020,3,Litchfield,1375,,,759,5,130,,
05/28/2020,4,Middlesex,1090,,,670,22,146,,
05/28/2020,5,New Haven,11241,,,1311,207,957,,
05/28/2020,6,New London,1068,,,400,12,85,,
05/28/2020,7,Tolland,827,,,548,2,57,,
05/28/2020,8,Windham,380,,,325,3,14,,
05/29/2020,1,Fairfield,15502,,,1642,176,1267,,
05/29/2020,2,Hartford,10207,,,1143,120,1238,,
05/29/2020,3,Litchfield,1381,,,763,3,131,,
05/29/2020,4,Middlesex,1104,,,679,22,150,,
05/29/2020,5,New Haven,11309,,,1319,195,966,,
05/29/2020,6,New London,1076,,,403,13,89,,
05/29/2020,7,Tolland,833,,,552,2,57,,
05/29/2020,8,Windham,381,,,326,2,14,,
05/30/2020,1,Fairfield,15549,,,1647,163,1277,,
05/30/2020,2,Hartford,10296,,,1153,107,1250,,
05/30/2020,3,Litchfield,1397,,,771,2,133,,
05/30/2020,4,Middlesex,1104,,,679,23,152,,
05/30/2020,5,New Haven,11323,,,1320,170,972,,
05/30/2020,6,New London,1078,,,404,11,89,,
05/30/2020,7,Tolland,836,,,554,2,57,,
05/30/2020,8,Windham,384,,,328,3,14,,
03/24/2020,3,Litchfield,22,,,,3,0,,
03/24/2020,2,Hartford,88,,,,17,2,,
03/24/2020,7,Tolland,19,,,,4,3,,
03/24/2020,8,Windham,2,,,,0,0,,
03/24/2020,6,New London,6,,,,1,0,,
03/24/2020,1,Fairfield,384,,,,23,7,,
03/24/2020,4,Middlesex,8,,,,4,0,,
03/24/2020,5,New Haven,89,,,,19,0,,
03/25/2020,1,Fairfield,546,,,,47,12,,
03/25/2020,2,Hartford,116,,,,24,2,,
03/25/2020,3,Litchfield,33,,,,3,0,,
03/25/2020,4,Middlesex,15,,,,4,0,,
03/25/2020,5,New Haven,127,,,,28,2,,
03/25/2020,6,New London,9,,,,2,0,,
03/25/2020,7,Tolland,27,,,,5,3,,
03/25/2020,8,Windham,2,,,,0,0,,
03/26/2020,1,Fairfield,607,,,,49,13,,
03/26/2020,2,Hartford,138,,,,27,2,,
03/26/2020,3,Litchfield,44,,,,3,0,,
03/26/2020,4,Middlesex,18,,,,5,1,,
03/26/2020,5,New Haven,156,,,,34,2,,
03/26/2020,6,New London,13,,,,2,0,,
03/26/2020,7,Tolland,33,,,,5,3,,
03/26/2020,8,Windham,3,,,,0,0,,
03/27/2020,1,Fairfield,752,,,,68,15,,
03/27/2020,2,Hartford,189,,,,36,2,,
03/27/2020,3,Litchfield,52,,,,9,0,,
03/27/2020,4,Middlesex,25,,,,5,1,,
03/27/2020,5,New Haven,222,,,,46,6,,
03/27/2020,6,New London,15,,,,2,0,,
03/27/2020,7,Tolland,33,,,,7,3,,
03/27/2020,8,Windham,3,,,,0,0,,
03/28/2020,1,Fairfield,908,,,,88,20,,
03/28/2020,2,Hartford,228,,,,41,2,,
03/28/2020,3,Litchfield,65,,,,12,0,,
03/28/2020,4,Middlesex,28,,,,5,1,,
03/28/2020,5,New Haven,236,,,,50,6,,
03/28/2020,6,New London,19,,,,2,0,,
03/28/2020,7,Tolland,37,,,,7,4,,
03/28/2020,8,Windham,3,,,,0,0,,
03/29/2020,1,Fairfield,1245,,,,189,21,,
03/29/2020,2,Hartford,276,,,,67,2,,
03/29/2020,3,Litchfield,87,,,,5,0,,
03/29/2020,4,Middlesex,38,,,,1,1,,
03/29/2020,5,New Haven,280,,,,137,6,,
03/29/2020,6,New London,20,,,,4,0,,
03/29/2020,7,Tolland,40,,,,0,4,,
03/29/2020,8,Windham,7,,,,1,0,,
03/30/2020,1,Fairfield,1445,,,,101,21,,
03/30/2020,2,Hartford,330,,,,59,3,,
03/30/2020,3,Litchfield,113,,,,18,1,,
03/30/2020,4,Middlesex,50,,,,6,1,,
03/30/2020,5,New Haven,373,,,,55,6,,
03/30/2020,6,New London,24,,,,4,0,,
03/30/2020,7,Tolland,50,,,,7,4,,
03/30/2020,8,Windham,10,,,,0,0,,
03/31/2020,1,Fairfield,1870,,,,275,38,,
03/31/2020,2,Hartford,393,,,,110,7,,
03/31/2020,3,Litchfield,121,,,,7,1,,
03/31/2020,4,Middlesex,56,,,,5,1,,
03/31/2020,5,New Haven,517,,,,202,12,,
03/31/2020,6,New London,27,,,,8,1,,
03/31/2020,7,Tolland,56,,,,1,7,,
03/31/2020,8,Windham,11,,,,0,0,,
04/01/2020,1,Fairfield,1986,,,,359,46,,
04/01/2020,2,Hartford,469,,,,126,11,,
04/01/2020,3,Litchfield,131,,,,11,1,,
04/01/2020,4,Middlesex,66,,,,8,2,,
04/01/2020,5,New Haven,611,,,,251,15,,
04/01/2020,6,New London,29,,,,10,1,,
04/01/2020,7,Tolland,61,,,,1,7,,
04/01/2020,8,Windham,19,,,,0,0,,
04/02/2020,1,Fairfield,2132,,,,381,65,,
04/02/2020,2,Hartford,539,,,,136,13,,
04/02/2020,3,Litchfield,141,,,,11,2,,
04/02/2020,4,Middlesex,74,,,,11,3,,
04/02/2020,5,New Haven,647,,,,274,17,,
04/02/2020,6,New London,29,,,,9,1,,
04/02/2020,7,Tolland,67,,,,2,10,,
04/02/2020,8,Windham,21,,,,3,0,,
04/03/2020,1,Fairfield,2716,,,,409,75,,
04/03/2020,2,Hartford,679,,,,166,18,,
04/03/2020,3,Litchfield,173,,,,14,4,,
04/03/2020,4,Middlesex,91,,,,12,2,,
