race,q1,q2,q3,min,max,range
White,85.505045,86.189015,86.750945,84.325186,87.523288,1.245900000000006
Black,7.126475999999999,7.3076,7.81734,7.015603,8.134963,0.6908640000000004
Hispanic,4.8209550000000005,4.979211,5.427139,4.535398000000001,6.030818,0.6061839999999998
