dept,outcome,number,total,freq_b,fre_w,both
0,True,23,54,0.44,0.29,273
200,True,116,517,0.22437137330754353,0.29952153110047847,1562
300,True,504,1181,0.42675698560541914,0.4587067861715749,4305
500,True,650,1784,0.36434977578475336,0.39349930843706776,4676
600,True,58,193,0.3005181347150259,0.378,1193
900,True,225,565,0.39823008849557523,0.3094674556213018,2255
