Office Name,Vote Totals,variable,value
State Senator 16,53174,"Rob Sampson, Republican Party",28758
State Senator 13,46840,"Len Suzio, Independent Party",1518
State Senator 13,46840,"Len Suzio, Republican Party",20646
State Senator 13,46840,"Mary Daugherty Abrams, Democratic Party",23593
State Senator 13,46840,"Mary Daugherty Abrams, Working Families Party",1083
State Senator 33,61602,"Brendan Saunders, Republican Party",28342
State Senator 33,61602,"Norm Needleman, Democratic Party",31163
State Senator 33,61602,"Norm Needleman, Independent Party",2097
State Senator 19,48096,"Catherine A. Osten, Democratic Party",24246
State Senator 19,48096,"Catherine A. Osten, Working Families Party",1379
State Senator 19,48096,"Steve Weir, Republican Party",21589
State Senator 19,48096,"William H. Russell, Independent Party",882
State Senator 09,47663,"Matt Lesser, Democratic Party",25132
State Senator 09,47663,"Matt Lesser, Working Families Party",1415
State Senator 09,47663,"Richard Ruglio, Independent Party",1046
State Senator 09,47663,"Richard Ruglio, Republican Party",20070
State Senator 25,49412,"Bob Duff, Democratic Party",28899
State Senator 25,49412,"Bob Duff, Working Families Party",889
State Senator 25,49412,"Ellie Kousidis, Independent Party",1283
State Senator 25,49412,"Ellie Kousidis, Republican Party",18341
State Senator 27,39457,"Carlo Leone, Democratic Party",24661
State Senator 27,39457,"Eva A. Maldonado, Independent Party",1129
State Senator 27,39457,"Eva A. Maldonado, Republican Party",13667
State Senator 34,48748,"April Capone, Democratic Party",20845
State Senator 34,48748,"April Capone, Working Families Party",895
State Senator 34,48748,"David Bedell, Write In",0
State Senator 34,48748,"Paul Cicarella, Independent Party",1177
State Senator 34,48748,"Paul Cicarella, Republican Party",25831
State Senator 07,52468,"Frederick A. Moffa, Democratic Party",22888
State Senator 07,52468,"Frederick A. Moffa, Working Families Party",1254
State Senator 07,52468,"John A. Kissel, Independent Party",1703
State Senator 07,52468,"John A. Kissel, Republican Party",26623
State Senator 03,35951,"Saud Anwar, Democratic Party",32495
State Senator 03,35951,"Saud Anwar, Working Families Party",3456
State Senator 28,61624,"Christopher ""Chris"" DeMatteo, Write In",3
State Senator 28,61624,"Michelle McCabe, Democratic Party",28881
State Senator 28,61624,"Michelle McCabe, Working Families Party",893
State Senator 28,61624,"Tony Hwang, Independent Party",2022
State Senator 28,61624,"Tony Hwang, Republican Party",29825
State Senator 36,53597,"Alex Kasser, Democratic Party",27014
State Senator 36,53597,"Ryan Fazio, Republican Party",26583
State Senator 18,50319,"Bob Statchen, Democratic Party",22382
State Senator 18,50319,"Bob Statchen, Independent Party",883
State Senator 18,50319,"Bob Statchen, Working Families Party",677
State Senator 18,50319,"Heather Somers, Republican Party",26377
State Senator 11,28360,"Alexander Taubes, Petitioning Candidate",518
State Senator 11,28360,"Jameson White, Republican Party",7734
State Senator 11,28360,"Martin M. Looney, Democratic Party",20108
State Senator 01,58221,"Barbara Ruhe, Republican Party",14305
State Senator 01,58221,"John W. Fonfara, Democratic Party",42017
State Senator 01,58221,"Mary L. Sanders, Green Party",1899
State Senator 15,24410,"Joan V. Hartley, Democratic Party",19973
State Senator 15,24410,"Joan V. Hartley, Independent Party",4437
State Senator 14,50556,"James Maroney, Democratic Party",26594
State Senator 14,50556,"James Maroney, Independent Party",1351
State Senator 14,50556,"James Maroney, Working Families Party",786
State Senator 14,50556,"Michael Southworth, Republican Party",21825
State Senator 21,36183,"Kevin C. Kelly, Republican Party",36183
State Senator 10,21534,"Carlos M. Alvarado, Republican Party",3369
State Senator 10,21534,"Gary Winfield, Democratic Party",16351
State Senator 10,21534,"Gary Winfield, Working Families Party",817
State Senator 10,21534,"Jason W. Bartlett, Petitioning Candidate",997
