Office Name,Vote Totals,variable,value
State Representative 17,8380,"Eleni Kavros DeGraw, Democratic Party",4392
State Representative 17,8380,"Eleni Kavros DeGraw, Working Families Party",128
State Representative 17,8380,"Leslee Hill, Independent Party",117
State Representative 17,8380,"Leslee Hill, Republican Party",3743
State Representative 19,2072,"Tammy Exum, Democratic Party",2072
State Representative 69,1558,"Cindy Harrison, Republican Party",739
State Representative 69,1558,"Michele Zommer, Democratic Party",819
