Town Name,Vote Totals,variable,value
Washington,2082,Basiago and Kinnison,0
Waterbury,33719,Basiago and Kinnison,0
Waterford,10683,Basiago and Kinnison,0
Watertown,11884,Basiago and Kinnison,0
West Hartford,33346,Basiago and Kinnison,1
West Haven,20969,Basiago and Kinnison,0
Westbrook,3792,Basiago and Kinnison,0
Weston,5712,Basiago and Kinnison,0
Westport,15444,Basiago and Kinnison,0
Wethersfield,14222,Basiago and Kinnison,0
Willington,2996,Basiago and Kinnison,0
Wilton,10391,Basiago and Kinnison,0
Winchester,4994,Basiago and Kinnison,0
Windham,8403,Basiago and Kinnison,0
Windsor,16016,Basiago and Kinnison,0
Windsor Locks,6146,Basiago and Kinnison,0
Wolcott,9092,Basiago and Kinnison,0
Woodbridge,5353,Basiago and Kinnison,0
Woodbury,5930,Basiago and Kinnison,3
Woodstock,4486,Basiago and Kinnison,0
Andover,1908,Blumenthal and Blair,0
Ansonia,7478,Blumenthal and Blair,0
Ashford,2332,Blumenthal and Blair,0
Avon,10602,Blumenthal and Blair,0
Barkhamsted,2200,Blumenthal and Blair,0
Beacon Falls,3332,Blumenthal and Blair,0
Berlin,11601,Blumenthal and Blair,0
Bethany,3380,Blumenthal and Blair,0
Bethel,9846,Blumenthal and Blair,0
Bethlehem,2317,Blumenthal and Blair,0
Bloomfield,11639,Blumenthal and Blair,0
Bolton,3002,Blumenthal and Blair,0
Bozrah,1390,Blumenthal and Blair,0
Branford,15605,Blumenthal and Blair,0
Bridgeport,39560,Blumenthal and Blair,0
Bridgewater,1141,Blumenthal and Blair,0
Bristol,26455,Blumenthal and Blair,0
Brookfield,9580,Blumenthal and Blair,0
Brooklyn,3720,Blumenthal and Blair,0
Burlington,5385,Blumenthal and Blair,0
Canaan,592,Blumenthal and Blair,0
Canterbury,2712,Blumenthal and Blair,0
Canton,6002,Blumenthal and Blair,0
Chaplin,1151,Blumenthal and Blair,0
Cheshire,15421,Blumenthal and Blair,0
Chester,2273,Blumenthal and Blair,0
Clinton,7191,Blumenthal and Blair,0
Colchester,8591,Blumenthal and Blair,0
Colebrook,899,Blumenthal and Blair,0
Columbia,3284,Blumenthal and Blair,0
Cornwall,923,Blumenthal and Blair,0
Coventry,6783,Blumenthal and Blair,0
Cromwell,7714,Blumenthal and Blair,0
Danbury,28849,Blumenthal and Blair,0
Darien,11265,Blumenthal and Blair,0
Deep River,2606,Blumenthal and Blair,0
Derby,5150,Blumenthal and Blair,0
Durham,4281,Blumenthal and Blair,0
East Granby,2950,Blumenthal and Blair,0
East Haddam,5087,Blumenthal and Blair,0
East Hampton,7245,Blumenthal and Blair,0
East Hartford,19047,Blumenthal and Blair,0
East Haven,12657,Blumenthal and Blair,0
East Lyme,10213,Blumenthal and Blair,0
East Windsor,5301,Blumenthal and Blair,0
Eastford,962,Blumenthal and Blair,0
Easton,4526,Blumenthal and Blair,0
Ellington,8202,Blumenthal and Blair,0
Enfield,18959,Blumenthal and Blair,0
Essex,4092,Blumenthal and Blair,0
Fairfield,31553,Blumenthal and Blair,0
Farmington,14303,Blumenthal and Blair,0
Franklin,1097,Blumenthal and Blair,0
Glastonbury,19625,Blumenthal and Blair,0
Goshen,1823,Blumenthal and Blair,0
Granby,6509,Blumenthal and Blair,0
Greenwich,31209,Blumenthal and Blair,0
Griswold,5276,Blumenthal and Blair,1
Groton,15357,Blumenthal and Blair,0
Guilford,13323,Blumenthal and Blair,0
Haddam,4970,Blumenthal and Blair,0
Hamden,27695,Blumenthal and Blair,0
Hampton,1059,Blumenthal and Blair,1
Hartford,33667,Blumenthal and Blair,0
Hartland,1238,Blumenthal and Blair,0
Harwinton,3407,Blumenthal and Blair,0
Hebron,5486,Blumenthal and Blair,0
Kent,1716,Blumenthal and Blair,0
Killingly,6888,Blumenthal and Blair,0
Killingworth,4015,Blumenthal and Blair,0
Lebanon,3948,Blumenthal and Blair,0
Ledyard,7300,Blumenthal and Blair,0
Lisbon,2181,Blumenthal and Blair,0
Litchfield,4859,Blumenthal and Blair,0
Lyme,1691,Blumenthal and Blair,0
Madison,10913,Blumenthal and Blair,0
Manchester,24838,Blumenthal and Blair,0
Mansfield,11481,Blumenthal and Blair,0
Marlborough,3639,Blumenthal and Blair,0
Meriden,22443,Blumenthal and Blair,0
Middlebury,4495,Blumenthal and Blair,0
Middlefield,2636,Blumenthal and Blair,0
Middletown,21244,Blumenthal and Blair,0
Milford,28151,Blumenthal and Blair,0
Monroe,10908,Blumenthal and Blair,0
Montville,7972,Blumenthal and Blair,0
Morris,1418,Blumenthal and Blair,0
Naugatuck,13182,Blumenthal and Blair,0
New Britain,22328,Blumenthal and Blair,0
New Canaan,10966,Blumenthal and Blair,0
New Fairfield,7677,Blumenthal and Blair,0
New Hartford,4122,Blumenthal and Blair,0
New Haven,41688,Blumenthal and Blair,0
New London,8687,Blumenthal and Blair,0
New Millford,13668,Blumenthal and Blair,0
Newington,15691,Blumenthal and Blair,0
Newtown,15359,Blumenthal and Blair,0
Norfolk,967,Blumenthal and Blair,0
North Branford,7654,Blumenthal and Blair,1
North Canaan,1509,Blumenthal and Blair,0
North Haven,13589,Blumenthal and Blair,0
North Stonington,3030,Blumenthal and Blair,3
Norwalk,38232,Blumenthal and Blair,0
Norwich,13476,Blumenthal and Blair,0
Old Lyme,4709,Blumenthal and Blair,0
Old Saybrook,6225,Blumenthal and Blair,0
Orange,8367,Blumenthal and Blair,0
Oxford,7343,Blumenthal and Blair,0
Plainfield,6120,Blumenthal and Blair,0
Plainville,8703,Blumenthal and Blair,0
Plymouth,5810,Blumenthal and Blair,0
Pomfret,2232,Blumenthal and Blair,0
Portland,5253,Blumenthal and Blair,0
Preston,2514,Blumenthal and Blair,0
Prospect,5585,Blumenthal and Blair,0
Putnam,3657,Blumenthal and Blair,0
Redding,5487,Blumenthal and Blair,0
Ridgefield,14296,Blumenthal and Blair,0
Rocky Hill,9838,Blumenthal and Blair,0
Roxbury,1474,Blumenthal and Blair,0
Salem,2346,Blumenthal and Blair,0
Salisbury,2331,Blumenthal and Blair,0
Scotland,909,Blumenthal and Blair,0
Seymour,8206,Blumenthal and Blair,0
Sharon,1416,Blumenthal and Blair,0
Shelton,20857,Blumenthal and Blair,1
Sherman,2137,Blumenthal and Blair,0
Simsbury,13984,Blumenthal and Blair,0
Somers,5694,Blumenthal and Blair,0
South Windsor,13954,Blumenthal and Blair,0
Southbury,11580,Blumenthal and Blair,0
Southington,23318,Blumenthal and Blair,0
Sprague,1509,Blumenthal and Blair,0
Stafford,6034,Blumenthal and Blair,0
Stamford,52258,Blumenthal and Blair,0
Sterling,1684,Blumenthal and Blair,0
Stonington,10173,Blumenthal and Blair,0
Stratford,25251,Blumenthal and Blair,0
Suffield,7558,Blumenthal and Blair,0
Thomaston,3971,Blumenthal and Blair,0
Thompson,4508,Blumenthal and Blair,0
Tolland,8499,Blumenthal and Blair,0
Torrington,15131,Blumenthal and Blair,0
Trumbull,19846,Blumenthal and Blair,0
Union,496,Blumenthal and Blair,0
Vernon,13559,Blumenthal and Blair,0
Voluntown,1385,Blumenthal and Blair,0
Wallingford,22636,Blumenthal and Blair,0
Warren,858,Blumenthal and Blair,0
Washington,2082,Blumenthal and Blair,0
Waterbury,33719,Blumenthal and Blair,0
Waterford,10683,Blumenthal and Blair,0
Watertown,11884,Blumenthal and Blair,0
West Hartford,33346,Blumenthal and Blair,0
West Haven,20969,Blumenthal and Blair,0
Westbrook,3792,Blumenthal and Blair,0
Weston,5712,Blumenthal and Blair,0
Westport,15444,Blumenthal and Blair,1
Wethersfield,14222,Blumenthal and Blair,0
Willington,2996,Blumenthal and Blair,0
Wilton,10391,Blumenthal and Blair,1
Winchester,4994,Blumenthal and Blair,0
Windham,8403,Blumenthal and Blair,0
Windsor,16016,Blumenthal and Blair,0
Windsor Locks,6146,Blumenthal and Blair,0
Wolcott,9092,Blumenthal and Blair,0
Woodbridge,5353,Blumenthal and Blair,0
Woodbury,5930,Blumenthal and Blair,3
Woodstock,4486,Blumenthal and Blair,0
Andover,1908,Buchanan and Washington,0
Ansonia,7478,Buchanan and Washington,0
Ashford,2332,Buchanan and Washington,0
Avon,10602,Buchanan and Washington,0
Barkhamsted,2200,Buchanan and Washington,0
Beacon Falls,3332,Buchanan and Washington,0
Berlin,11601,Buchanan and Washington,0
Bethany,3380,Buchanan and Washington,0
Bethel,9846,Buchanan and Washington,0
Bethlehem,2317,Buchanan and Washington,0
Bloomfield,11639,Buchanan and Washington,0
Bolton,3002,Buchanan and Washington,0
Bozrah,1390,Buchanan and Washington,0
Branford,15605,Buchanan and Washington,0
Bridgeport,39560,Buchanan and Washington,1
Bridgewater,1141,Buchanan and Washington,0
Bristol,26455,Buchanan and Washington,0
Brookfield,9580,Buchanan and Washington,0
Brooklyn,3720,Buchanan and Washington,0
Burlington,5385,Buchanan and Washington,0
Canaan,592,Buchanan and Washington,0
Canterbury,2712,Buchanan and Washington,0
Canton,6002,Buchanan and Washington,0
Chaplin,1151,Buchanan and Washington,0
Cheshire,15421,Buchanan and Washington,0
Chester,2273,Buchanan and Washington,0
Clinton,7191,Buchanan and Washington,0
Colchester,8591,Buchanan and Washington,0
Colebrook,899,Buchanan and Washington,0
Columbia,3284,Buchanan and Washington,0
Cornwall,923,Buchanan and Washington,0
Coventry,6783,Buchanan and Washington,0
Cromwell,7714,Buchanan and Washington,0
Danbury,28849,Buchanan and Washington,0
Darien,11265,Buchanan and Washington,0
Deep River,2606,Buchanan and Washington,0
Derby,5150,Buchanan and Washington,0
Durham,4281,Buchanan and Washington,0
East Granby,2950,Buchanan and Washington,0
East Haddam,5087,Buchanan and Washington,0
East Hampton,7245,Buchanan and Washington,0
East Hartford,19047,Buchanan and Washington,0
East Haven,12657,Buchanan and Washington,0
East Lyme,10213,Buchanan and Washington,0
East Windsor,5301,Buchanan and Washington,0
Eastford,962,Buchanan and Washington,0
Easton,4526,Buchanan and Washington,0
Ellington,8202,Buchanan and Washington,0
Enfield,18959,Buchanan and Washington,0
Essex,4092,Buchanan and Washington,0
Fairfield,31553,Buchanan and Washington,1
Farmington,14303,Buchanan and Washington,0
Franklin,1097,Buchanan and Washington,0
Glastonbury,19625,Buchanan and Washington,0
Goshen,1823,Buchanan and Washington,0
Granby,6509,Buchanan and Washington,1
Greenwich,31209,Buchanan and Washington,1
Griswold,5276,Buchanan and Washington,0
Groton,15357,Buchanan and Washington,1
Guilford,13323,Buchanan and Washington,0
Haddam,4970,Buchanan and Washington,0
Hamden,27695,Buchanan and Washington,0
Hampton,1059,Buchanan and Washington,0
Hartford,33667,Buchanan and Washington,0
Hartland,1238,Buchanan and Washington,0
Harwinton,3407,Buchanan and Washington,1
Hebron,5486,Buchanan and Washington,0
Kent,1716,Buchanan and Washington,0
Killingly,6888,Buchanan and Washington,0
Killingworth,4015,Buchanan and Washington,0
Lebanon,3948,Buchanan and Washington,0
Ledyard,7300,Buchanan and Washington,1
Lisbon,2181,Buchanan and Washington,0
Litchfield,4859,Buchanan and Washington,0
Lyme,1691,Buchanan and Washington,0
Madison,10913,Buchanan and Washington,0
Manchester,24838,Buchanan and Washington,0
Mansfield,11481,Buchanan and Washington,0
Marlborough,3639,Buchanan and Washington,0
Meriden,22443,Buchanan and Washington,0
Middlebury,4495,Buchanan and Washington,0
Middlefield,2636,Buchanan and Washington,0
Middletown,21244,Buchanan and Washington,0
Milford,28151,Buchanan and Washington,0
Monroe,10908,Buchanan and Washington,0
Montville,7972,Buchanan and Washington,0
Morris,1418,Buchanan and Washington,0
Naugatuck,13182,Buchanan and Washington,1
New Britain,22328,Buchanan and Washington,0
New Canaan,10966,Buchanan and Washington,0
New Fairfield,7677,Buchanan and Washington,0
New Hartford,4122,Buchanan and Washington,0
New Haven,41688,Buchanan and Washington,1
New London,8687,Buchanan and Washington,0
New Millford,13668,Buchanan and Washington,0
Newington,15691,Buchanan and Washington,0
Newtown,15359,Buchanan and Washington,0
Norfolk,967,Buchanan and Washington,0
North Branford,7654,Buchanan and Washington,0
North Canaan,1509,Buchanan and Washington,0
North Haven,13589,Buchanan and Washington,0
North Stonington,3030,Buchanan and Washington,0
Norwalk,38232,Buchanan and Washington,0
Norwich,13476,Buchanan and Washington,0
Old Lyme,4709,Buchanan and Washington,0
Old Saybrook,6225,Buchanan and Washington,0
Orange,8367,Buchanan and Washington,0
Oxford,7343,Buchanan and Washington,1
Plainfield,6120,Buchanan and Washington,0
Plainville,8703,Buchanan and Washington,0
Plymouth,5810,Buchanan and Washington,1
Pomfret,2232,Buchanan and Washington,0
Portland,5253,Buchanan and Washington,0
Preston,2514,Buchanan and Washington,0
Prospect,5585,Buchanan and Washington,0
Putnam,3657,Buchanan and Washington,0
Redding,5487,Buchanan and Washington,0
Ridgefield,14296,Buchanan and Washington,0
Rocky Hill,9838,Buchanan and Washington,0
Roxbury,1474,Buchanan and Washington,0
Salem,2346,Buchanan and Washington,0
Salisbury,2331,Buchanan and Washington,0
Scotland,909,Buchanan and Washington,0
Seymour,8206,Buchanan and Washington,0
Sharon,1416,Buchanan and Washington,0
Shelton,20857,Buchanan and Washington,0
Sherman,2137,Buchanan and Washington,0
Simsbury,13984,Buchanan and Washington,0
Somers,5694,Buchanan and Washington,0
South Windsor,13954,Buchanan and Washington,0
Southbury,11580,Buchanan and Washington,0
Southington,23318,Buchanan and Washington,0
Sprague,1509,Buchanan and Washington,0
Stafford,6034,Buchanan and Washington,0
Stamford,52258,Buchanan and Washington,0
Sterling,1684,Buchanan and Washington,0
Stonington,10173,Buchanan and Washington,0
Stratford,25251,Buchanan and Washington,1
Suffield,7558,Buchanan and Washington,0
Thomaston,3971,Buchanan and Washington,0
Thompson,4508,Buchanan and Washington,0
Tolland,8499,Buchanan and Washington,0
Torrington,15131,Buchanan and Washington,0
Trumbull,19846,Buchanan and Washington,0
Union,496,Buchanan and Washington,0
Vernon,13559,Buchanan and Washington,0
Voluntown,1385,Buchanan and Washington,0
Wallingford,22636,Buchanan and Washington,0
Warren,858,Buchanan and Washington,0
Washington,2082,Buchanan and Washington,0
Waterbury,33719,Buchanan and Washington,1
Waterford,10683,Buchanan and Washington,0
Watertown,11884,Buchanan and Washington,0
West Hartford,33346,Buchanan and Washington,2
West Haven,20969,Buchanan and Washington,0
Westbrook,3792,Buchanan and Washington,0
Weston,5712,Buchanan and Washington,0
Westport,15444,Buchanan and Washington,0
Wethersfield,14222,Buchanan and Washington,0
Willington,2996,Buchanan and Washington,0
Wilton,10391,Buchanan and Washington,0
Winchester,4994,Buchanan and Washington,0
Windham,8403,Buchanan and Washington,0
Windsor,16016,Buchanan and Washington,0
Windsor Locks,6146,Buchanan and Washington,0
Wolcott,9092,Buchanan and Washington,0
Woodbridge,5353,Buchanan and Washington,1
Woodbury,5930,Buchanan and Washington,3
Woodstock,4486,Buchanan and Washington,0
Andover,1908,Castle and Bradley,0
Ansonia,7478,Castle and Bradley,0
Ashford,2332,Castle and Bradley,0
Avon,10602,Castle and Bradley,2
Barkhamsted,2200,Castle and Bradley,2
Beacon Falls,3332,Castle and Bradley,1
Berlin,11601,Castle and Bradley,0
Bethany,3380,Castle and Bradley,0
Bethel,9846,Castle and Bradley,9
Bethlehem,2317,Castle and Bradley,1
Bloomfield,11639,Castle and Bradley,3
Bolton,3002,Castle and Bradley,1
Bozrah,1390,Castle and Bradley,1
Branford,15605,Castle and Bradley,2
Bridgeport,39560,Castle and Bradley,0
Bridgewater,1141,Castle and Bradley,1
Bristol,26455,Castle and Bradley,2
Brookfield,9580,Castle and Bradley,2
Brooklyn,3720,Castle and Bradley,0
Burlington,5385,Castle and Bradley,0
Canaan,592,Castle and Bradley,0
Canterbury,2712,Castle and Bradley,0
Canton,6002,Castle and Bradley,2
Chaplin,1151,Castle and Bradley,0
Cheshire,15421,Castle and Bradley,0
Chester,2273,Castle and Bradley,0
Clinton,7191,Castle and Bradley,0
Colchester,8591,Castle and Bradley,1
Colebrook,899,Castle and Bradley,0
Columbia,3284,Castle and Bradley,5
Cornwall,923,Castle and Bradley,0
Coventry,6783,Castle and Bradley,0
Cromwell,7714,Castle and Bradley,1
Danbury,28849,Castle and Bradley,0
Darien,11265,Castle and Bradley,0
Deep River,2606,Castle and Bradley,0
Derby,5150,Castle and Bradley,0
Durham,4281,Castle and Bradley,0
East Granby,2950,Castle and Bradley,0
East Haddam,5087,Castle and Bradley,1
East Hampton,7245,Castle and Bradley,1
East Hartford,19047,Castle and Bradley,3
East Haven,12657,Castle and Bradley,0
East Lyme,10213,Castle and Bradley,0
East Windsor,5301,Castle and Bradley,0
Eastford,962,Castle and Bradley,0
Easton,4526,Castle and Bradley,0
Ellington,8202,Castle and Bradley,0
Enfield,18959,Castle and Bradley,3
Essex,4092,Castle and Bradley,0
Fairfield,31553,Castle and Bradley,0
Farmington,14303,Castle and Bradley,0
Franklin,1097,Castle and Bradley,0
Glastonbury,19625,Castle and Bradley,3
Goshen,1823,Castle and Bradley,0
Granby,6509,Castle and Bradley,1
Greenwich,31209,Castle and Bradley,3
Griswold,5276,Castle and Bradley,0
Groton,15357,Castle and Bradley,5
Guilford,13323,Castle and Bradley,5
Haddam,4970,Castle and Bradley,0
Hamden,27695,Castle and Bradley,1
Hampton,1059,Castle and Bradley,0
Hartford,33667,Castle and Bradley,0
Hartland,1238,Castle and Bradley,0
Harwinton,3407,Castle and Bradley,2
Hebron,5486,Castle and Bradley,1
Kent,1716,Castle and Bradley,0
Killingly,6888,Castle and Bradley,0
Killingworth,4015,Castle and Bradley,0
Lebanon,3948,Castle and Bradley,1
Ledyard,7300,Castle and Bradley,3
Lisbon,2181,Castle and Bradley,0
Litchfield,4859,Castle and Bradley,0
Lyme,1691,Castle and Bradley,0
Madison,10913,Castle and Bradley,1
Manchester,24838,Castle and Bradley,0
Mansfield,11481,Castle and Bradley,1
Marlborough,3639,Castle and Bradley,0
Meriden,22443,Castle and Bradley,5
Middlebury,4495,Castle and Bradley,0
Middlefield,2636,Castle and Bradley,0
Middletown,21244,Castle and Bradley,0
Milford,28151,Castle and Bradley,0
Monroe,10908,Castle and Bradley,0
Montville,7972,Castle and Bradley,0
Morris,1418,Castle and Bradley,2
Naugatuck,13182,Castle and Bradley,0
