County,FIPS,State,FEMA Region,Population,NCHS Urban Rural Classification,Tests in prior 14 days,14-day test rate,Percent Positivity in prior 14 days,Test Positivity Classification - 14 days,Timeframe,"14-day test rate per 100,000","14-day test rate per 100,000 population",FIPS code,FEMA region,Percent Positive in prior 7 days,Test Positivity Classification
Hartford,9003.0,CT,1.0,891720,Large central metro,30045,3369,0.026,Green,10/14/2020,,,,,,
Litchfield,9005.0,CT,1.0,180333,Micropolitan,6271,3477,0.01,Green,10/14/2020,,,,,,
Middlesex,9007.0,CT,1.0,162436,Large fringe metro,4894,3013,0.018,Green,10/14/2020,,,,,,
New Haven,9009.0,CT,1.0,854757,Medium metro,23270,2722,0.024,Green,10/14/2020,,,,,,
New London,9011.0,CT,1.0,265206,Medium metro,13400,5053,0.045,Green,10/14/2020,,,,,,
Tolland,9013.0,CT,1.0,150721,Large fringe metro,4181,2774,0.017,Green,10/14/2020,,,,,,
Windham,9015.0,CT,1.0,116782,Medium metro,4110,3519,0.036,Green,10/14/2020,,,,,,
Fairfield,9001.0,CT,1.0,943332,Medium metro,23735,2516,0.019,Green,09/30/2020,,,,,,
Hartford,9003.0,CT,1.0,891720,Large central metro,25910,2906,0.019,Green,09/30/2020,,,,,,
Litchfield,9005.0,CT,1.0,180333,Micropolitan,5424,3008,0.008,Green,09/30/2020,,,,,,
Middlesex,9007.0,CT,1.0,162436,Large fringe metro,4174,2570,0.009,Green,09/30/2020,,,,,,
New Haven,9009.0,CT,1.0,854757,Medium metro,17452,2042,0.015,Green,09/30/2020,,,,,,
New London,9011.0,CT,1.0,265206,Medium metro,7630,2877,0.042,Green,09/30/2020,,,,,,
Tolland,9013.0,CT,1.0,150721,Large fringe metro,3834,2544,0.013,Green,09/30/2020,,,,,,
Windham,9015.0,CT,1.0,116782,Medium metro,3977,3405,0.023,Green,09/30/2020,,,,,,
Fairfield,9001.0,CT,1.0,943332,Medium metro,24419,2589,0.021,Green,10/07/2020,,,,,,
Hartford,9003.0,CT,1.0,891720,Large central metro,27312,3063,0.023,Green,10/07/2020,,,,,,
Litchfield,9005.0,CT,1.0,180333,Micropolitan,5617,3115,0.007,Green,10/07/2020,,,,,,
Middlesex,9007.0,CT,1.0,162436,Large fringe metro,4143,2551,0.014,Green,10/07/2020,,,,,,
New Haven,9009.0,CT,1.0,854757,Medium metro,16509,1931,0.021,Green,10/07/2020,,,,,,
New London,9011.0,CT,1.0,265206,Medium metro,8548,3223,0.057,Yellow,10/07/2020,,,,,,
Tolland,9013.0,CT,1.0,150721,Large fringe metro,3896,2585,0.015,Green,10/07/2020,,,,,,
Windham,9015.0,CT,1.0,116782,Medium metro,3726,3191,0.029,Green,10/07/2020,,,,,,
Fairfield,9001.0,CT,1.0,943332,Medium metro,20693,2194,0.022,Green,09/23/2020,,,,,,
Hartford,9003.0,CT,1.0,891720,Large central metro,23646,2652,0.018,Green,09/23/2020,,,,,,
Litchfield,9005.0,CT,1.0,180333,Micropolitan,4766,2643,0.01,Green,09/23/2020,,,,,,
Middlesex,9007.0,CT,1.0,162436,Large fringe metro,3896,2398,0.008,Green,09/23/2020,,,,,,
New Haven,9009.0,CT,1.0,854757,Medium metro,16486,1929,0.015,Green,09/23/2020,,,,,,
New London,9011.0,CT,1.0,265206,Medium metro,6234,2351,0.021,Green,09/23/2020,,,,,,
Tolland,9013.0,CT,1.0,150721,Large fringe metro,3317,2201,0.017,Green,09/23/2020,,,,,,
Windham,9015.0,CT,1.0,116782,Medium metro,3938,3372,0.024,Green,09/23/2020,,,,,,
Fairfield,9001.0,CT,1.0,943332,Medium metro,21832,,0.02,Green,09/16/2020,2314,,,,,
Hartford,9003.0,CT,1.0,891720,Large central metro,22528,,0.019,Green,09/16/2020,2526,,,,,
Litchfield,9005.0,CT,1.0,180333,Micropolitan,4686,,0.015,Green,09/16/2020,2599,,,,,
Middlesex,9007.0,CT,1.0,162436,Large fringe metro,3589,,0.011,Green,09/16/2020,2209,,,,,
New Haven,9009.0,CT,1.0,854757,Medium metro,17381,,0.015,Green,09/16/2020,2033,,,,,
New London,9011.0,CT,1.0,265206,Medium metro,5940,,0.013,Green,09/16/2020,2240,,,,,
Tolland,9013.0,CT,1.0,150721,Large fringe metro,3678,,0.019,Green,09/16/2020,2440,,,,,
Windham,9015.0,CT,1.0,116782,Medium metro,3441,,0.022,Green,09/16/2020,2947,,,,,
Fairfield,9001.0,CT,1.0,943332,Medium metro,16176,,0.018,Green,09/09/2020,,1715,,,,
Hartford,9003.0,CT,1.0,891720,Large central metro,20066,,0.015,Green,09/09/2020,,2250,,,,
Litchfield,9005.0,CT,1.0,180333,Micropolitan,4327,,0.013,Green,09/09/2020,,2399,,,,
Middlesex,9007.0,CT,1.0,162436,Large fringe metro,4737,,0.008,Green,09/09/2020,,2916,,,,
New Haven,9009.0,CT,1.0,854757,Medium metro,20736,,0.008,Green,09/09/2020,,2426,,,,
New London,9011.0,CT,1.0,265206,Medium metro,6053,,0.009,Green,09/09/2020,,2282,,,,
Tolland,9013.0,CT,1.0,150721,Large fringe metro,2341,,0.009,Green,09/09/2020,,1553,,,,
Windham,9015.0,CT,1.0,116782,Medium metro,2347,,0.012,Green,09/09/2020,,2010,,,,
