Turnout_Dems,Absentee_Received_Dems,Turnout_Rep,Absentee_Received_Rep,NM
27.89934354,70,17.57469244,28.5,Putnam
41.91419142,79.82283465,24.82152663,46.68141593,Redding
38.43387281,78.81752446,21.75694939,42.58804259,Ridgefield
33.93743258,75.65162111,20.19892884,49.62121212,Rocky Hill
52.75310835,63.63636364,31.82795699,33.10810811,Roxbury
38.60911271,72.67080745,24.17739628,46.74556213,Salem
,,,,Salisbury
23.32361516,40,15.47987616,34,Scotland
29.04483431,63.89261745,20.47619048,31.66368515,Seymour
46.68630339,67.19242902,22.65060241,46.80851064,Sharon
31.26764983,67.23532363,23.87404341,34.26169207,Shelton
39.02097902,68.10035842,15.234375,52.13675214,Sherman
44.6763754,78.01521188,19.19091271,60.74766355,Simsbury
,,,,Somers
44.29002009,73.72400756,23.07259426,48.7804878,South Windsor
43.2744043,82.83007697,21.41710157,53.51452671,Southbury
34.92612011,73.01262368,31.10880291,47.87145242,Southington
33.16582915,58.08080808,24.76190476,30.76923077,Sprague
35.61403509,73.27586207,19.953189,34.01759531,Stafford
10.26674215,0,,,Stamford
31.64835165,61.11111111,19.21182266,32.47863248,Sterling
44.94292009,72.59358289,20.66549912,50.33898305,Stonington
34.15115837,60.0088968,16.26608777,44.99523356,Stratford
37.19903692,75.40453074,19.60784314,46.92307692,Suffield
29.75746269,71.78683386,18.36327345,46.01449275,Thomaston
36.47990256,52.92153589,20.79422383,34.375,Thompson
43.8225256,78.5046729,20.72929053,49.90439771,Tolland
28.18957035,75.68353694,17.59970043,48.93617021,Torrington
22.56362917,44.79836353,14.27370031,27.90573112,Trumbull
41.30434783,66.66666667,30.35714286,39.70588235,Union
35.7858933,73.9869935,21.99032063,41.26547455,Vernon
44.8441247,51.87165775,33.72319688,13.29479769,Voluntown
37.29360165,74.6454514,20.6932409,38.44221106,Wallingford
47.27272727,66.92307692,23.94366197,44.70588235,Warren
,,,,Washington
19.07987333,61.2033195,15.06688226,42.63414634,Waterbury
38.72727273,73.18075117,21.10027855,42.07920792,Waterford
24.42458706,62.74944568,19.57008509,33.40961098,Watertown
21.8833899,47.47685185,14.16827853,29.46530148,West Hartford
21.38732161,49.22408442,17.47279323,26.98961938,West Haven
42.7996782,75.93984962,25.07462687,47.91666667,Westbrook
44.46113406,75.76013514,21.18959108,52.33918129,Weston
,,,,Westport
16.01611335,0,12.9463069,0,Wethersfield
40.59590317,73.16513761,19.82864137,38.88888889,Willington
42.61613692,73.26448652,27.37098082,44.02764067,Wilton
33.43653251,71.11111111,19.95089012,30.15384615,Winchester
25.07788162,64.24134871,17.6744186,38.72180451,Windham
37.35701665,60.96589495,23.53755625,41.76470588,Windsor
,,,,Windsor Locks
18.83070301,60.95238095,13.62837046,29.03225806,Wolcott
44.08644401,68.3600713,19.23990499,46.50205761,Woodbridge
,,,,Woodbury
41.15713346,76.99680511,22.02591284,41.17647059,Woodstock
