Office Name,Vote Totals,variable,value
State Senator 25,49412,"Bob Duff, Working Families Party",889
State Senator 25,49412,"Ellie Kousidis, Independent Party",1283
State Senator 25,49412,"Ellie Kousidis, Republican Party",18341
State Senator 27,39457,"Carlo Leone, Democratic Party",24661
State Senator 27,39457,"Eva A. Maldonado, Independent Party",1129
State Senator 27,39457,"Eva A. Maldonado, Republican Party",13667
State Senator 34,48748,"April Capone, Democratic Party",20845
State Senator 34,48748,"April Capone, Working Families Party",895
State Senator 34,48748,"David Bedell, Write In",0
State Senator 34,48748,"Paul Cicarella, Independent Party",1177
State Senator 34,48748,"Paul Cicarella, Republican Party",25831
State Senator 07,50036,"Frederick A. Moffa, Democratic Party",21585
State Senator 07,50036,"Frederick A. Moffa, Working Families Party",1181
State Senator 07,50036,"John A. Kissel, Independent Party",1603
State Senator 07,50036,"John A. Kissel, Republican Party",25667
State Senator 03,35254,"Saud Anwar, Democratic Party",31870
State Senator 03,35254,"Saud Anwar, Working Families Party",3384
State Senator 28,26654,"Christopher ""Chris"" DeMatteo, Write In",0
State Senator 28,26654,"Michelle McCabe, Democratic Party",12363
State Senator 28,26654,"Michelle McCabe, Working Families Party",371
State Senator 28,26654,"Tony Hwang, Independent Party",772
State Senator 28,26654,"Tony Hwang, Republican Party",13148
State Senator 36,52723,"Alex Kasser, Democratic Party",26626
State Senator 36,52723,"Ryan Fazio, Republican Party",26097
State Senator 18,50197,"Bob Statchen, Democratic Party",22324
State Senator 18,50197,"Bob Statchen, Independent Party",877
State Senator 18,50197,"Bob Statchen, Working Families Party",677
State Senator 18,50197,"Heather Somers, Republican Party",26319
State Senator 11,21906,"Alexander Taubes, Petitioning Candidate",406
State Senator 11,21906,"Jameson White, Republican Party",6850
State Senator 11,21906,"Martin M. Looney, Democratic Party",14650
State Senator 01,58221,"Barbara Ruhe, Republican Party",14305
State Senator 01,58221,"John W. Fonfara, Democratic Party",42017
State Senator 01,58221,"Mary L. Sanders, Green Party",1899
State Senator 15,24410,"Joan V. Hartley, Democratic Party",19973
State Senator 15,24410,"Joan V. Hartley, Independent Party",4437
State Senator 14,50556,"James Maroney, Democratic Party",26594
State Senator 14,50556,"James Maroney, Independent Party",1351
State Senator 14,50556,"James Maroney, Working Families Party",786
State Senator 14,50556,"Michael Southworth, Republican Party",21825
State Senator 21,36183,"Kevin C. Kelly, Republican Party",36183
State Senator 10,21534,"Carlos M. Alvarado, Republican Party",3369
State Senator 10,21534,"Gary Winfield, Democratic Party",16351
State Senator 10,21534,"Gary Winfield, Working Families Party",817
State Senator 10,21534,"Jason W. Bartlett, Petitioning Candidate",997
