Month/Year,Connecticut residents employed,People working in Connecticut,Difference
Feb-2020,1857.9,1699.5,158.4
Feb-2019,1832.4,1687.5,144.9
Feb-2018,1805.3,1688.7,116.6
Feb-2017,1813.5,1686.3,127.2
Feb-2016,1781.1,1684.4,96.7
Feb-2015,1787.7,1674,113.7
Feb-2014,1741.5,1655.6,85.9
Feb-2013,1711.4,1646.5,64.9
Feb-2012,1744.5,1641.9,102.6
Feb-2011,1745,1624.7,120.3
