Town,%_D_Applied,%_R_Applied,%_D_Voted,%_R_Voted,%_Applied,%_Voted
Andover,34.10958904109589,16.838995568685377,23.835616438356166,0.09315068493150686,23.145780051150894,14.02387041773231
Ansonia,28.07456872565387,13.208585580627409,21.035058430717864,0.0447968836950473,20.219374878664336,13.841972432537371
Ashford,41.35864135864136,15.561959654178674,32.16783216783217,0.07192807192807193,27.104087942287872,19.34043284094813
Avon,54.529067147363676,28.810936290946607,42.000901306894995,0.1694456962595764,39.88622452653561,28.2350399654353
Barkhamsted,42.198100407055634,21.023359288097886,31.34328358208955,0.17639077340569878,28.23931623931624,19.692307692307693
Beacon Falls,34.732142857142854,16.32996632996633,27.053571428571427,0.13125,22.68017499424361,16.25604420907207
Berlin,40.70993914807302,19.258885807915302,30.081135902636916,0.09350912778904666,28.568591101694917,18.968485169491526
Bethany,43.27628361858191,16.003460207612456,30.969845150774248,0.097799511002445,26.697493307374057,18.349963494767582
Bethel,44.133504492939664,21.711327649208283,34.53145057766367,0.12297817715019256,30.683220234423196,22.131400370141886
Bethlehem,38.80171184022824,15.688367129135539,28.958630527817405,0.11982881597717546,23.24438202247191,15.589887640449438
Bloomfield,42.66821836648328,36.89469638739431,32.77613203554803,0.03776978417266187,38.855284552845525,28.63089430894309
Bolton,42.016057091882246,17.160367722165475,33.719892952720784,0.08385370205173952,26.681367144432194,18.10915104740904
Bozrah,29.86798679867987,11.655011655011656,22.607260726072607,0.057755775577557754,19.70649895178197,14.150943396226415
Branford,47.140221402214024,23.569620253164558,38.00738007380074,0.08684765419082763,34.55771082679873,26.344751685238684
Bridgeport,19.75356653089629,16.241583350336665,8.252655709519619,0.006918148883476268,17.611769747178975,7.000298658633183
Bridgewater,37.723214285714285,21.88235294117647,31.026785714285715,0.15848214285714285,28.72570194384449,22.24622030237581
Bristol,38.110419906687405,17.857142857142858,29.712286158631414,0.07877138413685848,27.085262871152274,19.948242985562516
Brookfield,44.32106598984772,22.440251572327043,34.6763959390863,0.18623096446700507,29.738178976162562,20.578350918327473
Brooklyn,36.97604790419162,13.805970149253731,29.11676646706587,0.08907185628742514,22.91015625,16.5625
Burlington,48.41578654808227,21.350078492935637,36.40911617565314,0.15008337965536409,33.161993769470406,22.80373831775701
Canaan,42.40506329113924,21.29032258064516,33.860759493670884,0.08227848101265822,30.32345013477089,23.8544474393531
Canterbury,32.5609756097561,12.056737588652481,23.902439024390244,0.11097560975609756,18.67981374965763,12.845795672418516
Canton,53.29909126827341,26.481312670920694,39.78664559462663,0.1485578822599763,37.89392774788624,26.454009736100435
Chaplin,29.711751662971174,10.179640718562874,24.83370288248337,0.07538802660753881,17.58312020460358,12.915601023017903
Cheshire,50.55239370605959,25.566150178784266,41.01104787412119,0.15065282892534315,36.39976449808655,26.85212442351094
Chester,52.910512597741096,32.06239168110918,45.004344048653344,0.1155516941789748,41.765114662960386,32.55733148019458
Clinton,45.25974025974026,21.695951107715814,35.77922077922078,0.1331168831168831,31.11498595369563,23.123123123123122
Colchester,46.78047319556754,19.35361216730038,37.40640910452231,0.10242587601078167,31.86111111111111,23.324074074074073
Colebrook,32.98245614035088,12.612612612612613,24.210526315789473,0.07368421052631578,20.477502295684115,13.039485766758494
Columbia,46.13583138173302,16.650625601539943,36.0655737704918,0.08743169398907104,29.84964259304905,21.12398323884644
Cornwall,43.80453752181501,18.04123711340206,33.1588132635253,0.04537521815008726,34.612031386224935,25.632083696599825
Coventry,43.70483073411944,17.353874037154508,32.71205781666033,0.09623430962343096,28.712871287128714,20.055005500550056
Cromwell,40.74285714285714,21.541666666666668,31.885714285714286,0.11028571428571429,29.351087771942986,21.933608402100525
Danbury,34.354739643758954,20.7361268403171,25.271275506722173,0.08250870128983825,26.067766687037413,17.822140739231795
Darien,50.25530771298038,32.84172661870504,34.82934694974469,0.2932007524858909,39.01007271029284,23.907677940097393
Deep River,41.09704641350211,17.46031746031746,31.39240506329114,0.06666666666666667,28.88097358266548,20.896408429801127
