period,lost,eligible,rate
2010,1,9,11.11111111111111
2011,1,8,12.5
2012,5,13,38.46153846153847
2013,1,7,14.285714285714285
2014,4,12,33.33333333333333
2015,1,10,10.0
2016,3,14,21.428571428571427
2017,5,12,41.66666666666667
2018,1,12,8.333333333333332
2019,1,8,12.5
