Town Name,Vote Totals,variable,value
Voluntown,1524,Biden and Harris,566
Wallingford,24513,Biden and Harris,12834
Warren,945,Biden and Harris,465
Washington,2268,Biden and Harris,1461
Waterbury,35434,Biden and Harris,21091
Waterford,12316,Biden and Harris,6917
Watertown,12726,Biden and Harris,4587
West Hartford,32623,Biden and Harris,24375
West Haven,19103,Biden and Harris,11881
Westbrook,4311,Biden and Harris,2288
Weston,6527,Biden and Harris,4733
Westport,17523,Biden and Harris,13048
Wethersfield,16183,Biden and Harris,9544
Willington,3204,Biden and Harris,1674
Wilton,10919,Biden and Harris,7113
Winchester,5050,Biden and Harris,2271
Windham,5850,Biden and Harris,3665
Windsor,17512,Biden and Harris,13183
Windsor Locks,7021,Biden and Harris,3751
Wolcott,10002,Biden and Harris,3333
Woodbridge,5739,Biden and Harris,3855
Woodbury,6499,Biden and Harris,3138
Woodstock,5179,Biden and Harris,2548
Andover,2091,Trump and Pence,998
Ansonia,8419,Trump and Pence,3797
Ashford,2544,Trump and Pence,1160
Avon,14560,Trump and Pence,4469
Barkhamsted,2442,Trump and Pence,1228
Beacon Falls,3803,Trump and Pence,2191
Berlin,12873,Trump and Pence,6687
Bethany,3698,Trump and Pence,1718
Bethel,11090,Trump and Pence,4717
Bethlehem,2367,Trump and Pence,1393
Bloomfield,6704,Trump and Pence,1114
Bolton,3284,Trump and Pence,1482
Bozrah,1548,Trump and Pence,817
Branford,17311,Trump and Pence,6896
Bridgeport,27012,Trump and Pence,6201
Bristol,28624,Trump and Pence,13382
Brookfield,10827,Trump and Pence,5246
Brooklyn,4247,Trump and Pence,2296
Burlington,6233,Trump and Pence,3034
Canaan,655,Trump and Pence,209
Canterbury,3012,Trump and Pence,1755
Canton,6663,Trump and Pence,2663
Chaplin,1290,Trump and Pence,662
Cheshire,17059,Trump and Pence,7238
Chester,2596,Trump and Pence,853
Clinton,7647,Trump and Pence,3259
Colchester,9691,Trump and Pence,4243
Colebrook,996,Trump and Pence,571
Columbia,3568,Trump and Pence,1600
Cornwall,1032,Trump and Pence,250
Coventry,7772,Trump and Pence,3545
Cromwell,8783,Trump and Pence,3749
