Black_%,White_%,Hispanic_%,Total_%,Classification
39.87410462,17.8017532,31.10485574,31.14879025,1
38.11591057,41.908294,42.68121042,40.38864546,2
18.6021272,35.0303439,22.69528501,24.4808535,3
3.125678316,4.585300067,3.342716397,3.610211469,4
0.2821792924,0.6743088334,0.1759324419,0.3714993332,5
