Municipality,2015,2016,2017,2018,2019,2020 YTD
North Haven,"277,492","276,672","285,993","266,480","275,000","292,250"
North Stonington,"231,692","239,428","269,063","228,446","250,000","240,800"
Norwalk,"456,030","446,932","463,632","472,951","462,750","475,000"
Norwich,"100,786","122,374","130,234","134,257","142,971","139,000"
Old Lyme,"344,844","337,859","364,655","325,472","340,000","334,000"
Old Saybrook,"350,771","383,085","364,655","344,797","369,500","347,500"
Orange,"366,397","361,802","343,817","361,070","371,500","356,000"
Oxford,"323,184","339,456","317,770","320,386","313,350","327,500"
Plainfield,"142,194","136,740","150,498","172,907","176,900","189,900"
Plainville,"184,306","190,744","181,285","193,249","195,000","170,000"
Plymouth,"170,267","165,285","162,417","174,941","162,500","180,400"
Pomfret,"276,953","228,787","257,342","264,446","265,000","305,900"
Portland,"212,025","230,915","242,235","229,865","250,000","230,000"
Preston,"185,893","223,466","220,199","218,676","210,500","207,000"
Prospect,"269,410","271,352","286,514","244,104","280,000","260,000"
Putnam,"156,258","148,871","159,667","175,958","174,950","160,000"
Redding,"549,596","548,024","510,516","549,234","510,000","459,000"
Ridgefield,"684,300","660,289","666,797","642,299","606,000","600,000"
Rocky Hill,"262,136","286,515","288,077","261,536","265,000","238,500"
Roxbury,"531,869","500,138","562,610","430,360","549,000","585,000"
Salem,"266,177","265,925","244,840","249,698","259,000","248,000"
Salisbury,"410,580","393,726","400,339","369,207","390,000","375,000"
Scotland,"168,112","186,222","166,699","176,925","175,950",
Seymour,"227,382","214,953","219,053","233,933","240,000","257,500"
Sharon,"296,351","327,218","322,980","305,130","360,000","380,000"
Shelton,"310,899","330,410","324,022","310,215","325,000","302,500"
Sherman,"436,444","388,405","448,004","414,468","410,000","373,000"
Simsbury,"320,059","329,878","333,555","327,913","324,900","290,000"
Somers,"274,259","284,121","267,188","277,160","260,000","269,500"
South Windsor,"269,302","275,076","284,431","259,360","270,000","236,400"
Southbury,"365,858","353,821","337,566","366,156","345,000","337,500"
Southington,"256,478","275,821","284,431","266,989","265,000","269,500"
Sprague,"161,915","183,029","216,709","175,399","180,550","56,000"
Stafford,"183,199","209,313","161,490","175,958","175,000","179,750"
Stamford,"581,871","579,841","568,861","555,082","570,000","531,000"
Sterling,"183,199","200,587","197,955","202,403","203,000","221,000"
Stonington,"312,515","324,558","335,482","298,265","325,000","305,000"
Stratford,"229,511","239,428","247,705","254,275","249,900","252,000"
Suffield,"285,574","292,634","282,347","279,702","299,900","281,000"
Thomaston,"209,170","204,312","191,444","180,535","208,500","192,750"
Thompson,"196,130","196,863","197,382","188,672","200,000","250,000"
Tolland,"260,789","245,547","251,039","236,984","235,000","275,666"
Torrington,"129,317","131,473","140,132","137,308","145,900","139,200"
Trumbull,"377,173","377,764","395,911","379,378","372,750","377,500"
Union,"296,351","211,761","275,991","230,882","180,000","162,000"
Vernon,"185,354","182,497","184,209","182,671","186,000","179,900"
Voluntown,"177,810","188,350","149,248","225,745","230,000","257,000"
Wallingford,"256,209","252,463","251,091","249,189","248,000","242,450"
Warren,"288,268","468,747","345,380","320,386","500,000","448,500"
Washington,"487,093","518,760","424,562","375,311","549,000","460,000"
Waterbury,"87,181","95,665","101,061","114,119","128,000","115,000"
