Town,Vote Totals,Clinton and Kaine,Trump and Pence,%_Clinton,%_Trump,difference
Willington,2996,1414,1373,47.19626168224299,45.82777036048064,1.368491321762349
Wilton,10391,6055,3786,58.271581176017705,36.43537676835723,21.836204407660475
Winchester,4994,1816,2903,36.36363636363637,58.129755706848215,-21.766119343211848
Windham,8403,5375,2564,63.96525050577175,30.512912055218376,33.45233845055337
Windsor,16016,11370,4013,70.9915084915085,25.056193806193807,45.935314685314694
Windsor Locks,6146,2789,3022,45.379108363163034,49.17019199479336,-3.791083631630329
Wolcott,9092,2575,6192,28.32160140783106,68.10382754069512,-39.78222613286406
Woodbridge,5353,3333,1814,62.264150943396224,33.887539697365966,28.376611246030258
Woodbury,5930,2466,3171,41.585160202360875,53.473861720067454,-11.88870151770658
Woodstock,4486,1945,2281,43.35711101203745,50.84707980383415,-7.489968791796699
